BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
02:15:3F:A0:71:C2,2023-05-10 02:36:36,2023-05-10 02:36:41,7,10,WPA2, ,PSK,-48, ,0,0.0.0.0,18,A&R Transfer Group, ,45.206853,25.328443
6E:F6:DB:2D:F3:9E,2023-05-10 02:42:22,2023-05-10 02:42:22,11,10,WPA2, ,PSK,-46, ,0,0.0.0.0,26,Varu's Galaxy S21 Ultra 5G, ,45.206853,25.328443
98:49:14:CA:09:CA,2023-05-10 02:49:20,2023-05-10 02:49:20,161,60,WPA2, ,PSK,-75, ,0,0.0.0.0,17,984914CA09CA, ,45.206853,25.328443
9A:49:14:2E:2B:90,2023-05-10 02:49:20,2023-05-10 02:49:20,161,60,WPA2, ,PSK,-72, ,0,0.0.0.0,17,DIRECT-MBUX 96382, ,45.206853,25.328443
9A:49:14:3E:2B:90,2023-05-10 02:49:21,2023-05-10 02:49:23,6,60,WPA2, ,PSK,-79, ,0,0.0.0.0,17,DIRECT-MBUX 96382, ,45.206853,25.328443
D4:4D:A4:8E:89:D0,2023-05-10 02:49:22,2023-05-10 02:49:22,149,60,WPA2, ,PSK,-83, ,0,0.0.0.0,10,MBUX 88426, ,45.206853,25.328443
0C:B5:27:F8:C3:9B,2023-05-09 22:40:01,2023-05-10 02:50:08,5,10,WPA2, ,PSK,-82, ,0,0.0.0.0,15,Orange-27F8C39B, ,45.206853,25.328443
02:57:00:BF:71:C2,2023-05-10 02:52:05,2023-05-10 02:52:21,9,10,WPA2, ,PSK,-54, ,0,0.0.0.0,18,A&R Transfer Group, ,45.206853,25.328443
32:86:15:18:DD:0A,2023-05-10 02:53:46,2023-05-10 02:53:46,6,10,WPA2, ,PSK,-62, ,0,0.0.0.0,14,HUAWEI P30 Pro, ,45.206853,25.328443
C0:25:E9:D0:A0:C4,2023-05-10 02:55:01,2023-05-10 02:55:01,13,10,WPA2, ,PSK,-84, ,0,0.0.0.0,14,Telekom-XieKZM, ,45.206853,25.328443
7A:BA:8F:14:07:38,2023-05-10 02:56:04,2023-05-10 02:56:26,6,10,WPA2, ,PSK,-48, ,15,0.0.0.0,3,KTL, ,45.206853,25.328443
2C:05:47:79:B5:24,2023-05-10 02:56:04,2023-05-10 02:56:26,6,10,WPA2, ,PSK,-40, ,0,0.0.0.0,14,70mai_d06_b524, ,45.206853,25.328443
34:20:03:DC:2B:DD,2023-05-10 02:58:12,2023-05-10 02:58:33,6,10,WPA2, ,PSK,-42, ,0,0.0.0.0,14,70mai_d06_2bdd, ,45.206853,25.328443
26:58:0B:E7:C6:AF,2023-05-10 02:58:33,2023-05-10 02:58:44,6,10,WPA3-TRANSITION, ,,-58, ,0,0.0.0.0,32,MDT\515250\504848\505149s iPhone, ,45.206853,25.328443
E4:8D:8C:FE:36:77,2023-05-09 22:50:18,2023-05-10 03:06:05,7,0,, ,,0, ,0,0.0.0.0,17,E48D8CFE3677, ,0,0
60:1D:9D:A7:81:30,2023-05-10 03:07:43,2023-05-10 03:07:48,6,10,WPA2, ,PSK,-54, ,0,0.0.0.0,14,70mai_d06_8130, ,45.206853,25.328443
D0:40:EF:06:0F:CE,2023-05-10 03:07:45,2023-05-10 03:07:45,153,60,WPA2, ,PSK,-73, ,0,0.0.0.0,10,MBUX 70335, ,45.206853,25.328443
14:EB:B6:CB:43:AB,2023-05-09 23:07:45,2023-05-10 03:15:44,36,60,WPA2, ,PSK,-84, ,0,0.0.0.0,24,Pensiunea Valea Iancului, ,45.206853,25.328443
2C:05:47:79:B2:DA,2023-05-10 03:16:05,2023-05-10 03:16:18,6,10,WPA2, ,PSK,-48, ,0,0.0.0.0,14,70mai_d06_b2da, ,45.206853,25.328443
DA:10:68:5F:AF:BB,2023-05-10 03:16:10,2023-05-10 03:16:16,6,10,WPA2, ,PSK,-60, ,0,0.0.0.0,13,My Skoda 2085, ,45.206853,25.328443
DA:10:68:3F:AF:BB,2023-05-10 03:16:14,2023-05-10 03:16:14,149,60,WPA2, ,PSK,-74, ,0,0.0.0.0,13,My Skoda 2085, ,45.206853,25.328443
28:0F:EB:2C:8D:49,2023-05-10 03:17:55,2023-05-10 03:17:56,149,60,WPA2, ,PSK,-71, ,0,0.0.0.0,21,DACIA_1185           , ,45.206853,25.328443
1A:EB:B6:CB:43:AB,2023-05-09 23:41:03,2023-05-10 03:19:38,36,60,WPA2, ,PSK,-84, ,0,0.0.0.0,17,1AEBB6CB43AB, ,45.206853,25.328443
DA:EC:36:4E:76:21,2023-05-10 03:19:43,2023-05-10 03:19:54,6,10,WPA2, ,PSK,-42, ,0,0.0.0.0,9,AndroidAP, ,45.206853,25.328443
