BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
48:D8:90:E0:72:10,2023-05-10 03:51:38,2023-05-10 03:52:05,6,10,WPA2, ,PSK,-40, ,0,0.0.0.0,15,vYou_DDPai_MINI, ,47.061954,27.335712
70:4D:7B:51:94:04,2023-05-10 03:52:01,2023-05-10 03:52:07,100,,, ,,, ,0,0.0.0.0,17,704D7B519404, ,0,0
14:EB:B6:C8:24:5E,2023-05-10 03:07:56,2023-05-10 03:53:25,8,0,, ,,0, ,0,0.0.0.0,17,14EBB6C8245E, ,0,0
C4:6E:1F:F5:DE:CC,2023-05-10 03:19:34,2023-05-10 03:54:24,11,10,WPA2, ,PSK,-76, ,0,0.0.0.0,9,marianNET, ,47.061954,27.335712
54:E1:05:7D:89:C1,2023-05-10 03:41:47,2023-05-10 03:55:17,12,10,WPA2, ,PSK,-76, ,0,0.0.0.0,9,DIGI-p3WC, ,47.061954,27.335712
7E:89:56:63:BE:74,2023-05-10 03:55:00,2023-05-10 03:55:00,1,10,WPA2, ,PSK,-50, ,0,0.0.0.0,13,AndroidAPBE74, ,47.061954,27.335712
9A:49:14:9B:C9:22,2023-05-10 03:55:05,2023-05-10 03:55:05,149,60,WPA2, ,PSK,-70, ,0,0.0.0.0,17,DIRECT-MBUX 28529, ,47.061954,27.335712
A0:27:B6:92:33:F9,2023-05-10 03:57:09,2023-05-10 03:57:09,1,10,WPA2, ,PSK,-48, ,0,0.0.0.0,15,Galaxy A02s33f9, ,47.061954,27.335712
00:EB:D8:2E:C4:0A,2023-05-10 03:57:25,2023-05-10 03:57:25,3,,, ,,, ,0,0.0.0.0,17,00EBD82EC40A, ,0,0
44:27:F3:37:12:BC,2023-05-10 03:59:23,2023-05-10 03:59:28,11,10,WPA2, ,PSK,-42, ,0,0.0.0.0,20,70mai_Pro Plus+_12bc, ,47.061954,27.335712
34:75:63:C6:AE:41,2023-05-10 03:59:38,2023-05-10 03:59:38,1,10,WPA2, ,PSK,-46, ,0,0.0.0.0,14,70mai_d06_ae41, ,47.061954,27.335712
3E:A1:77:EB:67:9E,2023-05-10 03:00:56,2023-05-10 04:00:21,2,10,WPA2, ,PSK,-46, ,9,0.0.0.0,11,OPPO Reno5 , ,47.061954,27.3357119999999
00:1E:42:19:19:13,2023-05-10 03:58:34,2023-05-10 04:00:05,6,10,Open, ,,-54, ,0,0.0.0.0,12,Orange Wi-Fi, ,47.061954,27.335712
72:74:14:97:4D:8E,2023-05-10 04:00:14,2023-05-10 04:00:15,153,60,WPA2, ,PSK,-70, ,0,0.0.0.0,11,AllSaintsVW, ,47.061954,27.335712
8E:11:20:FA:3A:26,2023-05-10 04:01:30,2023-05-10 04:02:02,4,10,WPA2, ,PSK,-46, ,0,0.0.0.0,13,Adriantelefon, ,47.061954,27.335712
44:27:F3:5B:E4:7B,2023-05-10 03:59:28,2023-05-10 04:02:34,11,10,WPA2, ,PSK,-48, ,1,0.0.0.0,20,70mai_Pro Plus+_e47b, ,47.061954,27.335712
A6:04:50:59:A0:06,2023-05-10 04:02:56,2023-05-10 04:02:56,40,60,WPA2, ,PSK,-84, ,0,0.0.0.0,13,My Skoda 6210, ,47.061954,27.335712
00:1E:42:19:18:A1,2023-05-10 04:03:38,2023-05-10 04:03:38,1,,, ,,, ,0,0.0.0.0,17,001E421918A1, ,0,0
A0:56:B2:8F:71:5B,2023-05-10 04:03:44,2023-05-10 04:03:44,6,60,WPA2, ,PSK,-65, ,0,0.0.0.0,13,MB WLAN 21627, ,47.061954,27.335712
C0:25:2F:A3:E5:9B,2023-05-10 04:04:00,2023-05-10 04:04:00,7,,, ,,, ,0,0.0.0.0,17,C0252FA3E59B, ,0,0
00:1E:42:19:24:1F,2023-05-10 03:39:06,2023-05-10 04:05:19,1,10,Open, ,,-48, ,2,0.0.0.0,12,Orange Wi-Fi, ,47.061954,27.335712
C0:A5:DD:24:27:AC,2023-05-10 04:04:15,2023-05-10 04:05:51,2,0,, ,,0, ,0,0.0.0.0,17,C0A5DD2427AC, ,0,0
B0:D8:88:CC:99:A3,2023-05-10 04:05:29,2023-05-10 04:05:29,161,60,WPA2, ,PSK,-72, ,0,0.0.0.0,22,Mazda_99a388ccb0d8_SPL, ,47.061954,27.335712
90:5C:44:28:D5:53,2023-05-10 03:01:48,2023-05-10 04:07:12,11,10,WPA2, ,PSK,-72, ,0,0.0.0.0,10,UPCE2DEB2F, ,47.061954,27.335712
D4:B7:09:03:73:5C,2023-05-10 04:07:48,2023-05-10 04:07:48,1,10,WPA2, ,PSK,-76, ,0,0.0.0.0,12,DIGI-24-735C, ,47.061954,27.335712
44:27:F3:1B:61:F6,2023-05-10 04:07:48,2023-05-10 04:07:59,6,10,WPA2, ,PSK,-24, ,0,0.0.0.0,15,70mai_A500_61f6, ,47.061954,27.335712
18:31:BF:5A:BC:38,2023-05-10 03:01:48,2023-05-10 04:09:46,11,10,WPA2, ,PSK,-62, ,1,0.0.0.0,10,Quesadilla, ,47.061954,27.335712
14:18:2A:39:A3:01,2023-05-10 03:53:25,2023-05-10 04:10:07,8,0,, ,,0, ,0,0.0.0.0,17,14182A39A301, ,0,0
2E:24:04:A8:34:4E,2023-05-10 04:10:24,2023-05-10 04:10:34,11,10,, ,,-52, ,0,0.0.0.0,17,2E2404A8344E, ,47.061954,27.335712
24:4B:FE:F2:FA:88,2023-05-10 03:31:39,2023-05-10 04:11:48,5,0,, ,,0, ,0,0.0.0.0,17,244BFEF2FA88, ,0,0
74:6F:F7:BE:BD:81,2023-05-10 04:11:43,2023-05-10 04:11:43,1,10,WPA2, ,PSK,-60, ,0,0.0.0.0,15,Audi_MMI_bebd81, ,47.061954,27.335712
34:20:03:B6:C2:DA,2023-05-10 04:11:53,2023-05-10 04:11:53,1,10,WPA2, ,PSK,-50, ,0,0.0.0.0,14,70mai_d06_c2da, ,47.061954,27.335712
6A:EB:B6:24:56:79,2023-05-10 03:06:09,2023-05-10 04:12:37,8,10,WPA2, ,PSK,-72, ,0,0.0.0.0,17,6AEBB6245679, ,47.061954,27.335712
B4:1C:30:E6:82:85,2023-05-10 04:12:31,2023-05-10 04:12:31,5,10,WPA2, ,PSK,-70, ,0,0.0.0.0,12,vodafone8285, ,47.061954,27.335712
48:D8:90:66:3B:9D,2023-05-10 04:13:08,2023-05-10 04:13:08,6,10,WPA2, ,PSK,-46, ,0,0.0.0.0,15,vYou_DDPai_MINI, ,47.061954,27.335712
